profile_id,risk,morality,action,death_probability,win_probability,expected_steps_to_absorption,delta_win_vs_neutral,delta_steps_vs_neutral
cautious_selfish_physical,cautious,selfish,physical,0.741652778517,0.258347221483,32.1621991044,0.13853608044,4.95052872253
cautious_selfish_neutral,cautious,selfish,neutral,0.788484819077,0.211515180923,29.6721858814,0.0917040398802,2.46051549948
cautious_selfish_tactical,cautious,selfish,tactical,0.854369567881,0.145630432119,26.6453498611,0.0258192910763,-0.566320520833
cautious_neutral_physical,cautious,neutral,physical,0.742447740535,0.257552259465,32.6512994414,0.137741118422,5.43962905948
cautious_neutral_neutral,cautious,neutral,neutral,0.777364063911,0.222635936089,30.4797727955,0.102824795047,3.26810241359
cautious_neutral_tactical,cautious,neutral,tactical,0.837760875025,0.162239124975,27.6665065609,0.0424279839322,0.454836179027
cautious_noble_physical,cautious,noble,physical,0.751937139494,0.248062860506,33.1985856711,0.128251719463,5.98691528918
cautious_noble_neutral,cautious,noble,neutral,0.77507025539,0.22492974461,31.3678861973,0.105118603568,4.15621581542
cautious_noble_tactical,cautious,noble,tactical,0.823158438208,0.176841561792,28.8682299553,0.0570304207499,1.65655957339
neutral_selfish_physical,neutral,selfish,physical,0.860818042604,0.139181957396,27.8188786152,0.0193708163539,0.607208233334
neutral_selfish_neutral,neutral,selfish,neutral,0.892143189948,0.107856810052,25.9198627518,-0.0119543309905,-1.29180763009
neutral_selfish_tactical,neutral,selfish,tactical,0.920026562287,0.0799734377127,24.5881895249,-0.0398377033299,-2.62348085702
neutral_neutral_physical,neutral,neutral,physical,0.863287956284,0.136712043716,28.538208385,0.0169009026733,1.32653800313
neutral_neutral_neutral,neutral,neutral,neutral,0.880188858957,0.119811141043,27.2116703819,0,0
neutral_neutral_tactical,neutral,neutral,tactical,0.896163709007,0.103836290993,26.499637545,-0.0159748500493,-0.712032836859
neutral_noble_physical,neutral,noble,physical,0.861323765983,0.138676234017,29.3800927828,0.0188650929743,2.1684224009
neutral_noble_neutral,neutral,noble,neutral,0.870284302234,0.129715697766,28.3318882833,0.00990455672367,1.12021790139
neutral_noble_tactical,neutral,noble,tactical,0.878621698224,0.121378301776,27.938476941,0.00156716073338,0.726806559063
reckless_selfish_physical,reckless,selfish,physical,0.939401601333,0.0605983986672,24.961960412,-0.0592127423754,-2.24970996987
reckless_selfish_neutral,reckless,selfish,neutral,0.945559429628,0.0544405703718,24.4198905699,-0.0653705706708,-2.79177981196
reckless_selfish_tactical,reckless,selfish,tactical,0.94560312572,0.0543968742799,24.7211059094,-0.0654142667627,-2.4905644725
reckless_neutral_physical,reckless,neutral,physical,0.929706437493,0.0702935625072,26.063489614,-0.0495175785354,-1.1481807679
reckless_neutral_neutral,reckless,neutral,neutral,0.933215538197,0.0667844618033,25.7256059255,-0.0530266792393,-1.48606445635
reckless_neutral_tactical,reckless,neutral,tactical,0.931050877439,0.0689491225607,26.2098451009,-0.0508620184818,-1.00182528101
reckless_noble_physical,reckless,noble,physical,0.922616279278,0.0773837207219,26.5451102999,-0.0424274203206,-0.666560081963
reckless_noble_neutral,reckless,noble,neutral,0.925139705434,0.074860294566,26.2639448923,-0.0449508464766,-0.947725489567
reckless_noble_tactical,reckless,noble,tactical,0.921815296806,0.0781847031943,26.8164262775,-0.0416264378483,-0.395244104359
