node_id,node_kind,outcome,is_combat,profile_count,mean_visit_probability,std_visit_probability,min_visit_probability,max_visit_probability,range_visit_probability,min_visit_profile,max_visit_profile,mean_expected_visits,range_expected_visits
1,narrative,,false,27,1,0,1,1,0,cautious_selfish_physical,cautious_selfish_physical,1,0
2,narrative,,false,27,0.117077362291,0.0414831438987,0.0559959289024,0.1996156575,0.143619728598,reckless_noble_tactical,cautious_selfish_physical,0.117077362291,0.143619728598
3,narrative,,false,27,0.100852140013,0.0884117272797,0.00482360788228,0.280924811626,0.276101203744,reckless_selfish_tactical,cautious_noble_physical,0.100852140013,0.276101203744
4,narrative,,false,27,0.0520524075647,0.053475319747,0.00290973050758,0.170825158335,0.167915427827,reckless_selfish_tactical,cautious_noble_physical,0.0520524075647,0.167915427827
5,narrative,,false,27,5.25401479274e-05,5.11634750287e-05,5.28700564217e-07,0.00018398922069,0.000183460520126,cautious_selfish_physical,reckless_noble_tactical,5.25401479274e-05,0.000183460520126
6,narrative,,false,27,0.286719846429,0.171783727429,0.0594208321333,0.650688339851,0.591267507718,reckless_neutral_tactical,cautious_selfish_physical,0.286719846429,0.591267507718
7,narrative,,false,27,0.109443385081,0.068343270547,0.0312435989424,0.226360703119,0.195117104177,reckless_noble_physical,cautious_noble_neutral,0.109443385081,0.195117104177
8,narrative,,false,27,0.179211838677,0.0194245438072,0.153615605453,0.20309811386,0.049482508407,reckless_noble_physical,cautious_selfish_physical,0.358423677354,0.098965016814
9,narrative,,false,27,0.00802010072564,0.00512557636489,0.00150087271211,0.020350722821,0.0188498501089,cautious_noble_physical,reckless_neutral_tactical,0.00802010072564,0.0188498501089
10,narrative,,false,27,0.0518850555138,0.0219501702763,0.0183963712092,0.0934549229913,0.0750585517821,reckless_selfish_tactical,cautious_neutral_physical,0.0518850555138,0.0750585517821
11,narrative,,false,27,0.00833704852144,0.00733925489138,0.00207166973606,0.0273503663351,0.025278696599,cautious_selfish_tactical,cautious_selfish_physical,0.00833704852144,0.025278696599
12,narrative,,false,27,0.055070016363,0.0501353764508,0.00171149847832,0.187082109336,0.185370610858,reckless_noble_physical,cautious_selfish_physical,0.055070016363,0.185370610858
13,narrative,,false,27,0.150392846055,0.00477847621986,0.143417970148,0.161629345788,0.01821137564,reckless_noble_neutral,reckless_selfish_physical,0.150392846055,0.01821137564
14,narrative,,false,27,0.100710301897,0.0180930382855,0.0645588477366,0.132430864198,0.0678720164614,reckless_noble_physical,neutral_selfish_tactical,0.100710301897,0.0678720164614
15,narrative,,false,27,0.0815610361159,0.00116319543828,0.079456347648,0.0831655410884,0.0037091934404,reckless_noble_physical,neutral_selfish_neutral,0.106156090649,0.005799057709
16,narrative,,false,27,0.0730332683151,0.0304411396609,0.0306988750889,0.140290800333,0.109591925244,cautious_selfish_tactical,cautious_noble_physical,0.0730332683151,0.109591925244
17,narrative,,true,27,0.00678730498571,0.00399427528796,0.000815670588235,0.0151908,0.0143751294118,cautious_noble_tactical,neutral_selfish_physical,0.00678730498571,0.0143751294118
18,narrative,,false,27,0.0111126659219,0.00787071914955,0.000436198118096,0.0295051824062,0.0290689842881,cautious_selfish_physical,neutral_noble_tactical,0.0111126659219,0.0290689842881
19,narrative,,false,27,0.221344708271,0.0781024734499,0.111590769231,0.340973142857,0.229382373626,reckless_noble_physical,cautious_selfish_tactical,0.221344708271,0.229382373626
20,narrative,,false,27,0.00948409168487,0.00500707220705,0.00251670312473,0.0203936172075,0.0178769140828,cautious_selfish_tactical,neutral_noble_physical,0.00948409168487,0.0178769140828
21,narrative,,false,27,0.0040697755664,0.0037332536024,3.73244309366e-05,0.0129890025196,0.0129516780887,cautious_selfish_physical,reckless_noble_tactical,0.0040697755664,0.0129516780887
22,narrative,,false,27,0.0231567282666,0.00922483828433,0.00889157941776,0.0397183422713,0.0308267628535,reckless_selfish_tactical,cautious_neutral_physical,0.0231567282666,0.0308267628535
23,narrative,,false,27,0.0674253988266,0.0387579549455,0.0181786065042,0.141286659769,0.123108053265,reckless_selfish_physical,cautious_noble_tactical,0.0674253988266,0.123108053265
24,narrative,,false,27,0.0289594793736,0.0160514953961,0.00819708649199,0.0681797362212,0.0599826497292,reckless_noble_tactical,cautious_selfish_physical,0.0289594793736,0.0599826497292
25,narrative,,false,27,0.0766103695567,0.0478402893829,0.0218705192596,0.158452492183,0.136581972923,reckless_noble_physical,cautious_noble_neutral,0.0766103695567,0.136581972923
26,narrative,,false,27,0.0369273178514,0.0220078508916,0.0093495318897,0.08050216123,0.0711526293403,reckless_selfish_physical,cautious_noble_tactical,0.0369273178514,0.0711526293403
27,narrative,,false,27,0.104125,0.0510106238935,0.04165,0.1666,0.12495,cautious_selfish_physical,reckless_selfish_physical,0.104125,0.12495
28,narrative,,false,27,0.179211838677,0.0194245438072,0.153615605453,0.20309811386,0.049482508407,reckless_noble_physical,cautious_selfish_physical,0.526546117476,0.125309765415
29,narrative,,true,27,0.00488568495366,0.00448169700169,4.48072400199e-05,0.0155930402396,0.0155482329996,cautious_selfish_physical,reckless_noble_tactical,0.00488568495366,0.0155482329996
30,narrative,,false,27,0.338245795718,0.0578866617285,0.242415004187,0.419812605203,0.177397601016,cautious_noble_tactical,reckless_selfish_physical,0.338245795718,0.177397601016
31,narrative,,false,27,0.0586706124468,0.0182506319128,0.0185509493554,0.0896940107956,0.0711430614402,cautious_selfish_physical,neutral_noble_tactical,0.0586706124468,0.0711430614402
32,narrative,,false,27,0.0884785109466,0.0658423144334,0.00346461915577,0.208633957482,0.205169338326,cautious_selfish_physical,reckless_noble_physical,0.0884785109466,0.205169338326
33,narrative,,false,27,0.0576134297686,0.0385381885079,0.00754534532816,0.125455458489,0.117910113161,cautious_selfish_physical,reckless_noble_tactical,0.0576134297686,0.117910113161
34,narrative,,true,27,0.00555451384604,0.00412236480667,0.000186141514129,0.0130439136978,0.0128577721837,cautious_selfish_tactical,neutral_noble_physical,0.00555451384604,0.0128577721837
35,narrative,,false,27,0.050876950918,0.00238375399454,0.0472663401393,0.0535925889543,0.006326248815,reckless_noble_physical,cautious_selfish_physical,0.050876950918,0.006326248815
36,narrative,,false,27,0.0311386506877,0.0142390189322,0.00897399810066,0.0540294885362,0.0450554904355,cautious_noble_tactical,reckless_selfish_physical,0.0499809454654,0.116346975308
37,narrative,,false,27,0.0166740970429,0.0146785097828,0.00414333947212,0.0547007326702,0.0505573931981,cautious_selfish_tactical,cautious_selfish_physical,0.0166740970429,0.0505573931981
38,narrative,,false,27,0.0928396335371,0.0245462591897,0.0574593732194,0.12678325,0.0693238767806,reckless_noble_physical,cautious_selfish_physical,0.0928396335371,0.0693238767806
