edge_id,source_id,target_id,transition_kind,neutral_compiled_weight,neutral_expected_flow,balanced_mean_expected_flow,expected_flow_range,neutral_expected_flow_given_death,neutral_expected_flow_given_win,neutral_win_minus_death_expected_flow
e0001,1,141,kai,0.5,0.5,0.5,0,0.494253316626,0.542217832483,0.047964515857
e0002,1,85,profile_choice,0.25,0.25,0.25,0,0.243478879177,0.297907213353,0.054428334176
e0003,1,275,profile_choice,0.25,0.25,0.25,0,0.262267804197,0.159874954164,-0.102392850033
e0004,2,343,random,0.5,0.0569640216797,0.0585386811455,0.0718098642988,0.0572899823981,0.0545693612978,-0.0027206211003
e0005,2,276,random,0.5,0.0569640216797,0.0585386811455,0.0718098642988,0.0572899823981,0.0545693612978,-0.0027206211003
e0006,3,196,profile_choice,0.5,0.0361973482593,0.0315356538224,0.0591082622525,0.00678889593558,0.252245637836,0.2454567419
e0007,3,144,profile_choice,0.5,0.0361973482593,0.0693164861909,0.223775127725,0.0135777918712,0.20237122286,0.188793430989
e0008,4,218,kai,0.5,0.0179736767737,0.0260262037823,0.0839577139137,0.00711176062048,0.09777040938,0.0906586487595
e0009,4,75,profile_choice,0.25,0.00898683838687,0.0183628985131,0.0680390902832,0.00355588031024,0.04888520469,0.0453293243798
e0010,4,175,profile_choice,0.25,0.00898683838687,0.00766330526925,0.0159186236305,0.00294962887288,0.0533390122095,0.0503893833366
e0011,5,111,forced,1,5.11607110233e-05,5.25401479274e-05,0.000183460520126,2.5836802106e-05,0.000237202028219,0.000211365226113
e0012,6,183,profile_choice,0.5,0.124911502153,0.107865419956,0.166205780451,0.112572340025,0.21556077683,0.102988436805
e0013,6,200,profile_choice,0.5,0.124911502153,0.178854426473,0.508666505454,0.0962077232421,0.335782930199,0.239575206957
e0014,7,108,random,0.3,0.025062344025,0.0328330155243,0.0585351312529,0.0284738255546,0,-0.0284738255546
e0015,7,25,random,0.7,0.0584788027251,0.0766103695567,0.136581972923,0,0.488091526516,0.488091526516
e0016,8,70,forced,1,0.360134661751,0.358423677354,0.098965016814,0.332101338867,0.566080605233,0.233979266366
e0017,9,236,state_condition,0.5,0.00449341919343,0.00401005036282,0.00942492505445,0.00279161604156,0.016995663654,0.0142040476124
e0018,9,292,state_condition,0.5,0.00449341919343,0.00401005036282,0.00942492505445,0.00510506256436,0,-0.00510506256436
e0019,10,115,profile_choice,0.5,0.0269605151606,0.0271107450984,0.0573168649864,0.00744767528437,0.170310992555,0.162863317271
e0020,10,83,profile_choice,0.5,0.0269605151606,0.0247743104154,0.0479740587777,0.00744767528437,0.170310992555,0.162863317271
e0021,11,139,forced,1,0.00807989855257,0.00833704852144,0.025278696599,0,0.0674386245074,0.0674386245074
e0022,12,262,state_condition,0.5,0.0220252025613,0.0275350081815,0.0926853054288,0.0238626932518,0.00852613377576,-0.015336559476
e0023,12,247,state_condition,0.5,0.0220252025613,0.0275350081815,0.0926853054288,0.0232824053931,0.0127892006636,-0.0104932047295
e0024,13,307,profile_choice,0.5,0.0761581515918,0.0756886308028,0.127502522583,0.0765939453625,0.0729566060724,-0.0036373392901
e0025,13,213,profile_choice,0.5,0.0761581515918,0.0747042152525,0.112482395804,0.0765939453625,0.0729566060724,-0.0036373392901
e0026,14,43,profile_choice,0.5,0.055654296875,0.0481531643926,0.068316,0.0559575408231,0.0534265245466,-0.0025310162765
e0027,14,106,profile_choice,0.5,0.055654296875,0.052557137504,0.0764479012346,0.055180658496,0.0591338666444,0.0039532081484
e0028,15,207,profile_choice,0.333333333333,0.0360657353568,0.0353853635499,0.0019330192362,0.0332104532994,0.0570419770832,0.0238315237838
