edge_id,champ,gold,llm,gravite
23->337,semantic_risk,reckless,neutral,DOUCE
220->234,semantic_risk,reckless,cautious,DOUCE
6->200,semantic_action,tactical,neutral,DOUCE
23->337,semantic_action,physical,neutral,DOUCE
71->242,semantic_action,physical,neutral,DOUCE
97->306,semantic_action,physical,neutral,DOUCE
100->133,semantic_action,tactical,neutral,DOUCE
100->257,semantic_action,tactical,neutral,DOUCE
299->227,semantic_action,physical,neutral,DOUCE
299->95,semantic_action,tactical,neutral,DOUCE
339->7,semantic_action,tactical,physical,DOUCE
