source_id,target_id,edge_text,transition_type,realisation_value,semantic_risk,semantic_morality,semantic_action,warnings
1,141,"If you wish to use your Kai Discipline of Sixth Sense, turn to 141.",conditional,If you wish to use your Kai Discipline of Sixth Sense,,,,
1,85,"If you wish to take the right path into the wood, turn to 85.",explicit_choice,,neutral,neutral,neutral,
1,275,"If you wish to follow the left track, turn to 275.",explicit_choice,,neutral,neutral,neutral,
2,343,"If you have picked a number 0–4, turn to 343.",stochastic,If you have picked a number 0–4,,,,
2,276,"If you have picked a number 5–9, turn to 276.",stochastic,If you have picked a number 5–9,,,,
5,111,Turn to 111.,forced,,,,,
6,183,"If you wish to call them, turn to 183.",explicit_choice,,reckless,neutral,tactical,
6,200,"If you wish to let them pass and then continue on your way through the forest, turn to 200.",explicit_choice,,cautious,neutral,tactical,
12,262,"If you have 10 Gold Crowns and wish to pay him, turn to 262.",conditional,If you have 10 Gold Crowns and wish to pay him,,,,
12,247,"If you do not have enough Gold Crowns or do not wish to pay him, turn to 247.",conditional,If you do not have enough Gold Crowns or do not wish to pay him,,,,
21,189,"If it is below 5, your horse has suddenly plunged into thick mud up to its belly. If the number is 5 or above, you manage to steer clear of the morass and may now turn to 189.",stochastic,,,,,
21,189,"If you are stuck, pick another number from the Random Number Table. If this time the number is 7 or less, the mud engulfs you up to your armpits. Your horse gives one last despairing scream as its muzzle disappears into the bubbling mud. If you scored above 7, you drag yourself onto firm ground and turn to 189.",stochastic,,,,,This choice is only possible if the first choice failed
21,312,"If not, then this is your last chance! If you pick any number except a 9, the foul-smelling bog sucks you under and claims another victim. Your life and your mission end here. But if you have picked a 9, turn to 312.",stochastic,,,,,This choice is only possible if the first choice failed. Contain an implicit dead end (death)
23,326,"If you have a Golden Key and wish to use it, turn to 326.",conditional,If you have a Golden Key and wish to use it,,,,
23,151,"If you have the Kai Discipline of Mind Over Matter, turn to 151.",conditional,If you have the Kai Discipline of Mind Over Matter,,,,
23,337,"If you wish to remove the pin, turn to 337.",explicit_choice,,neutral,neutral,physical,
25,139,Turn to 139.,forced,,,,,
27,250,"If you choose to attack, turn to 250.",explicit_choice,,reckless,neutral,physical,
27,52,"If you choose to listen to what the voices say, turn to 52.",explicit_choice,,cautious,neutral,tactical,
32,176,"If you wish to hide in the undergrowth and let him pass, turn to 176.",explicit_choice,,cautious,neutral,tactical,
32,340,"If you wish to fight him, turn to 340.",explicit_choice,,reckless,neutral,physical,
68,130,"If you wish to turn west, go to 130.",explicit_choice,,neutral,neutral,neutral,
68,15,"If you wish to head east, turn to 15.",explicit_choice,,neutral,neutral,neutral,
69,272,Avoid the gallowbrush and turn to 272.,forced,,,,,
71,65,"If you wish to use the Kai Discipline of Sixth Sense, turn to 65.",conditional,If you wish to use the Kai Discipline of Sixth Sense,,,,
71,242,"If you wish to open the sarcophagus to see if it contains any treasure, turn to 242.",explicit_choice,,reckless,selfish,physical,
71,104,"If you wish to leave via the tunnel, turn to 104.",explicit_choice,,cautious,neutral,neutral,
74,138,"If you decide to fight them, turn to 138.",explicit_choice,,reckless,neutral,physical,
