node_id,node_kind,outcome,absorbing,source_ref
1,narrative,,false,LW01_nodes.csv:1
2,narrative,,false,LW01_nodes.csv:2
3,narrative,,false,LW01_nodes.csv:3
4,narrative,,false,LW01_nodes.csv:4
5,narrative,,false,LW01_nodes.csv:5
6,narrative,,false,LW01_nodes.csv:6
7,narrative,,false,LW01_nodes.csv:7
8,narrative,,false,LW01_nodes.csv:8
9,narrative,,false,LW01_nodes.csv:9
10,narrative,,false,LW01_nodes.csv:10
11,narrative,,false,LW01_nodes.csv:11
12,narrative,,false,LW01_nodes.csv:12
13,narrative,,false,LW01_nodes.csv:13
14,narrative,,false,LW01_nodes.csv:14
15,narrative,,false,LW01_nodes.csv:15
16,narrative,,false,LW01_nodes.csv:16
17,narrative,,false,LW01_nodes.csv:17
18,narrative,,false,LW01_nodes.csv:18
19,narrative,,false,LW01_nodes.csv:19
20,narrative,,false,LW01_nodes.csv:20
21,narrative,,false,LW01_nodes.csv:21
22,narrative,,false,LW01_nodes.csv:22
23,narrative,,false,LW01_nodes.csv:23
24,narrative,,false,LW01_nodes.csv:24
25,narrative,,false,LW01_nodes.csv:25
26,narrative,,false,LW01_nodes.csv:26
27,narrative,,false,LW01_nodes.csv:27
28,narrative,,false,LW01_nodes.csv:28
29,narrative,,false,LW01_nodes.csv:29
30,narrative,,false,LW01_nodes.csv:30
31,narrative,,false,LW01_nodes.csv:31
32,narrative,,false,LW01_nodes.csv:32
33,narrative,,false,LW01_nodes.csv:33
34,narrative,,false,LW01_nodes.csv:34
35,narrative,,false,LW01_nodes.csv:35
36,narrative,,false,LW01_nodes.csv:36
37,narrative,,false,LW01_nodes.csv:37
38,narrative,,false,LW01_nodes.csv:38
39,narrative,,false,LW01_nodes.csv:39
40,narrative,,false,LW01_nodes.csv:40
41,narrative,,false,LW01_nodes.csv:41
42,narrative,,false,LW01_nodes.csv:42
43,narrative,,false,LW01_nodes.csv:43
44,narrative,,false,LW01_nodes.csv:44
45,narrative,,false,LW01_nodes.csv:45
46,narrative,,false,LW01_nodes.csv:46
47,narrative,,false,LW01_nodes.csv:47
48,narrative,,false,LW01_nodes.csv:48
49,narrative,,false,LW01_nodes.csv:49
50,narrative,,false,LW01_nodes.csv:50
51,narrative,,false,LW01_nodes.csv:51
52,narrative,,false,LW01_nodes.csv:52
53,preterminal,death,false,LW01_nodes.csv:53
54,preterminal,death,false,LW01_nodes.csv:54
55,narrative,,false,LW01_nodes.csv:55
56,narrative,,false,LW01_nodes.csv:56
57,narrative,,false,LW01_nodes.csv:57
58,narrative,,false,LW01_nodes.csv:58
59,narrative,,false,LW01_nodes.csv:59
60,preterminal,death,false,LW01_nodes.csv:60
61,narrative,,false,LW01_nodes.csv:61
62,narrative,,false,LW01_nodes.csv:62
63,narrative,,false,LW01_nodes.csv:63
64,narrative,,false,LW01_nodes.csv:64
65,narrative,,false,LW01_nodes.csv:65
66,narrative,,false,LW01_nodes.csv:66
67,narrative,,false,LW01_nodes.csv:67
68,narrative,,false,LW01_nodes.csv:68
69,narrative,,false,LW01_nodes.csv:69
70,narrative,,false,LW01_nodes.csv:70
71,narrative,,false,LW01_nodes.csv:71
72,narrative,,false,LW01_nodes.csv:72
73,narrative,,false,LW01_nodes.csv:73
74,narrative,,false,LW01_nodes.csv:74
75,narrative,,false,LW01_nodes.csv:75
76,narrative,,false,LW01_nodes.csv:76
77,narrative,,false,LW01_nodes.csv:77
78,narrative,,false,LW01_nodes.csv:78
79,narrative,,false,LW01_nodes.csv:79
80,narrative,,false,LW01_nodes.csv:80
81,narrative,,false,LW01_nodes.csv:81
82,narrative,,false,LW01_nodes.csv:82
83,narrative,,false,LW01_nodes.csv:83
84,narrative,,false,LW01_nodes.csv:84
85,narrative,,false,LW01_nodes.csv:85
86,narrative,,false,LW01_nodes.csv:86
87,narrative,,false,LW01_nodes.csv:87
88,narrative,,false,LW01_nodes.csv:88
89,narrative,,false,LW01_nodes.csv:89
90,narrative,,false,LW01_nodes.csv:90
91,narrative,,false,LW01_nodes.csv:91
92,narrative,,false,LW01_nodes.csv:92
93,narrative,,false,LW01_nodes.csv:93
94,narrative,,false,LW01_nodes.csv:94
95,narrative,,false,LW01_nodes.csv:95
96,narrative,,false,LW01_nodes.csv:96
97,narrative,,false,LW01_nodes.csv:97
98,narrative,,false,LW01_nodes.csv:98
99,narrative,,false,LW01_nodes.csv:99
100,narrative,,false,LW01_nodes.csv:100
101,narrative,,false,LW01_nodes.csv:101
102,narrative,,false,LW01_nodes.csv:102
103,narrative,,false,LW01_nodes.csv:103
104,narrative,,false,LW01_nodes.csv:104
105,narrative,,false,LW01_nodes.csv:105
106,narrative,,false,LW01_nodes.csv:106
107,narrative,,false,LW01_nodes.csv:107
108,preterminal,death,false,LW01_nodes.csv:108
109,narrative,,false,LW01_nodes.csv:109
110,narrative,,false,LW01_nodes.csv:110
111,narrative,,false,LW01_nodes.csv:111
112,narrative,,false,LW01_nodes.csv:112
113,narrative,,false,LW01_nodes.csv:113
114,narrative,,false,LW01_nodes.csv:114
115,narrative,,false,LW01_nodes.csv:115
116,narrative,,false,LW01_nodes.csv:116
117,narrative,,false,LW01_nodes.csv:117
118,narrative,,false,LW01_nodes.csv:118
119,narrative,,false,LW01_nodes.csv:119
120,narrative,,false,LW01_nodes.csv:120
121,narrative,,false,LW01_nodes.csv:121
122,narrative,,false,LW01_nodes.csv:122
123,narrative,,false,LW01_nodes.csv:123
124,narrative,,false,LW01_nodes.csv:124
125,narrative,,false,LW01_nodes.csv:125
126,narrative,,false,LW01_nodes.csv:126
127,preterminal,death,false,LW01_nodes.csv:127
128,narrative,,false,LW01_nodes.csv:128
129,narrative,,false,LW01_nodes.csv:129
130,narrative,,false,LW01_nodes.csv:130
131,narrative,,false,LW01_nodes.csv:131
132,narrative,,false,LW01_nodes.csv:132
133,narrative,,false,LW01_nodes.csv:133
134,narrative,,false,LW01_nodes.csv:134
135,narrative,,false,LW01_nodes.csv:135
136,narrative,,false,LW01_nodes.csv:136
137,narrative,,false,LW01_nodes.csv:137
138,narrative,,false,LW01_nodes.csv:138
139,narrative,,false,LW01_nodes.csv:139
140,narrative,,false,LW01_nodes.csv:140
141,narrative,,false,LW01_nodes.csv:141
142,narrative,,false,LW01_nodes.csv:142
143,narrative,,false,LW01_nodes.csv:143
144,narrative,,false,LW01_nodes.csv:144
145,narrative,,false,LW01_nodes.csv:145
146,narrative,,false,LW01_nodes.csv:146
147,narrative,,false,LW01_nodes.csv:147
148,narrative,,false,LW01_nodes.csv:148
149,narrative,,false,LW01_nodes.csv:149
150,narrative,,false,LW01_nodes.csv:150
151,narrative,,false,LW01_nodes.csv:151
152,narrative,,false,LW01_nodes.csv:152
153,narrative,,false,LW01_nodes.csv:153
154,preterminal,death,false,LW01_nodes.csv:154
155,narrative,,false,LW01_nodes.csv:155
156,narrative,,false,LW01_nodes.csv:156
157,narrative,,false,LW01_nodes.csv:157
158,narrative,,false,LW01_nodes.csv:158
159,narrative,,false,LW01_nodes.csv:159
160,narrative,,false,LW01_nodes.csv:160
161,narrative,,false,LW01_nodes.csv:161
162,narrative,,false,LW01_nodes.csv:162
163,narrative,,false,LW01_nodes.csv:163
164,narrative,,false,LW01_nodes.csv:164
165,narrative,,false,LW01_nodes.csv:165
166,narrative,,false,LW01_nodes.csv:166
167,narrative,,false,LW01_nodes.csv:167
168,narrative,,false,LW01_nodes.csv:168
169,narrative,,false,LW01_nodes.csv:169
170,narrative,,false,LW01_nodes.csv:170
