source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,source_ref,note
1,141,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:2,Kai route is taken whenever the discipline is available.
1,85,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(1, 85)",,,neutral,neutral,neutral,LW01_e_edges.csv:3,Choice among routes remaining when the Kai route is unavailable.
1,275,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(1, 275)",,,neutral,neutral,neutral,LW01_e_edges.csv:4,Choice among routes remaining when the Kai route is unavailable.
2,343,random,constant,0.5,,,,,,,LW01_e_edges.csv:5,
2,276,random,constant,0.5,,,,,,,LW01_e_edges.csv:6,
3,196,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:7,
3,144,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:8,
4,218,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:9,Kai route is taken whenever the discipline is available.
4,75,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(4, 75)",,,cautious,neutral,tactical,LW01_e_edges.csv:10,Choice among routes remaining when the Kai route is unavailable.
4,175,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(4, 175)",,,reckless,neutral,tactical,LW01_e_edges.csv:11,Choice among routes remaining when the Kai route is unavailable.
5,111,forced,constant,1,,,,,,,LW01_e_edges.csv:12,
6,183,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:13,
6,200,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:14,
7,108,random,constant,0.3,,,,,,,LW01_e_edges.csv:15,
7,25,random,constant,0.7,,,,,,,LW01_e_edges.csv:16,
8,70,forced,constant,1,,,,,,,LW01_e_edges.csv:17,
10,115,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:20,
10,83,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:21,
11,139,forced,constant,1,,,,,,,LW01_e_edges.csv:22,
13,307,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:25,
13,213,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:26,
14,43,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:27,
14,106,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:28,
15,207,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:29,
15,201,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:30,
15,35,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:31,
16,192,forced,constant,1,,,,,,,LW01_e_edges.csv:32,
17,53,combat,formula,,combat_win(17) * 0.1,,,,,,LW01_e_edges.csv:33,Combat victory followed by a random-number result.
17,274,combat,formula,,combat_win(17) * 0.2,,,,,,LW01_e_edges.csv:34,Combat victory followed by a random-number result.
17,316,combat,formula,,combat_win(17) * 0.7,,,,,,LW01_e_edges.csv:35,Combat victory followed by a random-number result.
17,Death,combat,formula,,1 - combat_win(17),,,,,,generated:combat_death:17,Implicit death when the combat is lost.
