task,input_id,field,human_value,model_value,status,human_evidence,model_evidence,human_justification,model_justification
individual,T0001,perceived_profile.risk.label,cautious,neutral,disagreement,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S025-C01"",""S029-C03""],""supporting"":[""S026-C01"",""S036-C02"",""S015-C02""]}","Avoidable danger is repeatedly sidestepped through cover, waiting, evasion, and bypassing nearby conflict. This cautious tendency is substantial but not uniform, because the trajectory also chooses a direct charge through Doomwolves and prepares to fight suspicious soldiers.","The player exhibits a mix of caution and recklessness. S026-C01 shows caution by hiding from Doomwolves, and S036-C02 shows caution by waiting for a madman to disappear. However, S025-C01 involves taking a risky open route to the capital, and S029-C03 involves initiating combat with soldiers, which is a voluntary engagement with danger."
individual,T0001,perceived_profile.risk.support,mixed,mixed,match,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S025-C01"",""S029-C03""],""supporting"":[""S026-C01"",""S036-C02"",""S015-C02""]}","Avoidable danger is repeatedly sidestepped through cover, waiting, evasion, and bypassing nearby conflict. This cautious tendency is substantial but not uniform, because the trajectory also chooses a direct charge through Doomwolves and prepares to fight suspicious soldiers.","The player exhibits a mix of caution and recklessness. S026-C01 shows caution by hiding from Doomwolves, and S036-C02 shows caution by waiting for a madman to disappear. However, S025-C01 involves taking a risky open route to the capital, and S029-C03 involves initiating combat with soldiers, which is a voluntary engagement with danger."
individual,T0001,perceived_profile.morality.label,unclear,neutral,human_abstention,"{""counterevidence"":[""S010-C02""],""supporting"":[""S011-C01""]}","{""counterevidence"":[""S010-C02"",""S034-C02""],""supporting"":[""S006-C01"",""S011-C01"",""S009-C01""]}","The clearest moral evidence is confined to the wagon episode: the player first runs for personal cover, then returns to defend the children. The reversal leaves too little repeated evidence elsewhere to support a stable moral orientation.","The player shows noble intent by approaching refugees (S006-C01) and defending children (S011-C01). However, this is contradicted by initially fleeing from the children in danger (S010-C02) and prioritizing personal speed/safety by avoiding the King's Guard (S015-C02) and declining assistance from a court official (S034-C02), suggesting a self-reliant or self-preservationist streak."
individual,T0001,perceived_profile.morality.support,insufficient,mixed,human_abstention,"{""counterevidence"":[""S010-C02""],""supporting"":[""S011-C01""]}","{""counterevidence"":[""S010-C02"",""S034-C02""],""supporting"":[""S006-C01"",""S011-C01"",""S009-C01""]}","The clearest moral evidence is confined to the wagon episode: the player first runs for personal cover, then returns to defend the children. The reversal leaves too little repeated evidence elsewhere to support a stable moral orientation.","The player shows noble intent by approaching refugees (S006-C01) and defending children (S011-C01). However, this is contradicted by initially fleeing from the children in danger (S010-C02) and prioritizing personal speed/safety by avoiding the King's Guard (S015-C02) and declining assistance from a court official (S034-C02), suggesting a self-reliant or self-preservationist streak."
individual,T0001,perceived_profile.action.label,tactical,tactical,match,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S029-C03"",""S018-C02""],""supporting"":[""S015-C02"",""S026-C01"",""S035-C02""]}","The trajectory often favors cover, waiting, avoidance, and disengagement rather than direct confrontation. Several direct-risk choices recur, however, so the tactical orientation is noticeable without being fully consistent.","The player repeatedly chooses observation, concealment, or strategic avoidance over direct confrontation. S015-C02 avoids the Guard to stay hidden. S026-C01 hides from Doomwolves. S035-C02 evades a fight with a madman. S036-C02 waits for safety. Even when combat occurs (S029-C03), it is a reaction to a threat, but the overall pattern favors tactical positioning and evasion."
individual,T0001,perceived_profile.action.support,mixed,clear,disagreement,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S029-C03"",""S018-C02""],""supporting"":[""S015-C02"",""S026-C01"",""S035-C02""]}","The trajectory often favors cover, waiting, avoidance, and disengagement rather than direct confrontation. Several direct-risk choices recur, however, so the tactical orientation is noticeable without being fully consistent.","The player repeatedly chooses observation, concealment, or strategic avoidance over direct confrontation. S015-C02 avoids the Guard to stay hidden. S026-C01 hides from Doomwolves. S035-C02 evades a fight with a madman. S036-C02 waits for safety. Even when combat occurs (S029-C03), it is a reaction to a threat, but the overall pattern favors tactical positioning and evasion."
individual,T0001,causal_continuity.label,continuous,continuous,match,[],[],"No unsupported dependency or explicit contradiction was found. Changes of course, including fleeing the wagon and then returning when the children are seen under direct attack, are motivated by information introduced in the intervening scene.","The narrative flow is logical. Transitions follow player choices or mechanical rules (Kai disciplines, combat outcomes) without contradiction. The progression from the monastery to Holmgard is coherent."
individual,T0001,profile_coherence.label,mixed,mixed,match,"{""counterevidence"":[""S018-C02"",""S029-C03""],""supporting"":[""S020-C01"",""S026-C01"",""S035-C02""]}","{""counterevidence"":[""S029-C03"",""S010-C02""],""supporting"":[""S015-C02"",""S026-C01"",""S035-C02""]}","A cautious, tactical tendency is readable across many choices, but direct confrontation recurs and the wagon sequence reverses the moral direction immediately.","The profile shows competing orientations. The player is generally tactical and cautious (hiding, evading), but occasionally engages in direct combat (S029-C03) or takes significant risks (S025-C01). Morally, the player helps others (S011-C01) but also abandons them initially (S010-C02) and prioritizes their own mission over social integration (S015-C02, S034-C02). These contradictions prevent a single stable archetype, resulting in a mixed profile."
individual,T0004,perceived_profile.risk.label,cautious,cautious,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S008-C02"",""S024-C02""]}","{""counterevidence"":[""S010-C01"",""S021-C02""],""supporting"":[""S002-C02"",""S004-C04"",""S008-C02""]}","The player repeatedly avoids exposed routes, hazardous terrain, combat, uncertain encounters, and immediate threats, often choosing cover or retreat. A few exploratory or danger-seeking choices occur, but they are exceptions to the dominant pattern.","The player repeatedly chooses paths that minimize exposure to danger or avoid direct confrontation. They cut through heavy foliage to avoid tracked paths (S002-C02), flee a battle scene to preserve their mission (S004-C04), avoid dangerous briars by returning to a safer track (S008-C02), and choose to climb a hillside rather than enter a dark, unknown tunnel (S020-C02). Even when forced into a tunnel later, it is to escape aerial predators, consistent with seeking cover."
individual,T0004,perceived_profile.risk.support,clear,clear,match,"{""counterevidence"":[""S010-C01"",""S026-C01""],""supporting"":[""S004-C04"",""S008-C02"",""S024-C02""]}","{""counterevidence"":[""S010-C01"",""S021-C02""],""supporting"":[""S002-C02"",""S004-C04"",""S008-C02""]}","The player repeatedly avoids exposed routes, hazardous terrain, combat, uncertain encounters, and immediate threats, often choosing cover or retreat. A few exploratory or danger-seeking choices occur, but they are exceptions to the dominant pattern.","The player repeatedly chooses paths that minimize exposure to danger or avoid direct confrontation. They cut through heavy foliage to avoid tracked paths (S002-C02), flee a battle scene to preserve their mission (S004-C04), avoid dangerous briars by returning to a safer track (S008-C02), and choose to climb a hillside rather than enter a dark, unknown tunnel (S020-C02). Even when forced into a tunnel later, it is to escape aerial predators, consistent with seeking cover."
